Frequency,s11-magnitude (db),s11-phase (°),s11-resistance (ω),s11-reactance (ω),s11-impedance (ω),s11-conductance (s),s11-vswr,s11-magnitude,s11-s-real,s11-s-imaginary,s12-magnitude (db),s12-phase (°),s12-resistance (ω),s12-reactance (ω),s12-impedance (ω),s12-conductance (s),s12-magnitude,s12-s-real,s12-s-imaginary,s21-magnitude (db),s21-phase (°),s21-resistance (ω),s21-reactance (ω),s21-impedance (ω),s21-conductance (s),s21-magnitude,s21-s-real,s21-s-imaginary,s22-magnitude (db),s22-phase (°),s22-resistance (ω),s22-reactance (ω),s22-impedance (ω),s22-conductance (s),s22-vswr,s22-magnitude,s22-s-real,s22-s-imaginary,Reference-Impedance,Original-Title
574673,0,0,50,0,50,"0,02",1,0,0,0,"-0,892294873720453","-27,6926421050035","79,9007624658908","-41,9357499235694","90,2371263077612","-0,031960304986356","0,902371263077612","0,799007624658908","-0,419357499235694",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
579694,0,0,50,0,50,"0,02",1,0,0,0,"-0,912802385827156","-27,8859921373026","79,5707020843772","-42,105613902103","90,0243264472091","-0,031828280833751","0,900243264472092","0,795707020843772","-0,42105613902103",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
584759,0,0,50,0,50,"0,02",1,0,0,0,"-0,925907236904485","-28,1156597337577","79,2815782876371","-42,3602710458368","89,888604499433","-0,031712631315055","0,89888604499433","0,792815782876371","-0,423602710458368",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
589868,0,0,50,0,50,"0,02",1,0,0,0,"-0,950474621646797","-28,3893920368331","78,8549458096926","-42,6178442939049","89,6347205658002","-0,031541978323877","0,896347205658002","0,788549458096926","-0,426178442939049",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
595022,0,0,50,0,50,"0,02",1,0,0,0,"-0,963885157286708","-28,6316689163784","78,5526559133303","-42,8846400680706","89,4964362687478","-0,031421062365332","0,894964362687478","0,785526559133303","-0,428846400680706",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
600221,0,0,50,0,50,"0,02",1,0,0,0,"-0,977966720541365","-28,7492773669016","78,3373596107007","-42,9760617939561","89,3514622045671","-0,03133494384428","0,893514622045671","0,783373596107007","-0,429760617939561",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
605465,0,0,50,0,50,"0,02",1,0,0,0,"-0,981432105387552","-28,9172786707616","78,1798122582782","-43,1883414679078","89,3158210144666","-0,031271924903311","0,893158210144666","0,781798122582782","-0,431883414679078",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
610756,0,0,50,0,50,"0,02",1,0,0,0,"-1,01829944909882","-29,1451989741855","77,6769912134112","-43,3147544542369","88,9375225503791","-0,031070796485365","0,889375225503791","0,776769912134112","-0,433147544542369",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
616092,0,0,50,0,50,"0,02",1,0,0,0,"-1,02970748524332","-29,3558375090038","77,4154828683766","-43,5428011877104","88,8207887997871","-0,030966193147351","0,888207887997871","0,774154828683766","-0,435428011877104",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
621475,0,0,50,0,50,"0,02",1,0,0,0,"-1,04598785753014","-29,5840357461134","77,0968048990599","-43,7686716071803","88,6544637336491","-0,030838721959624","0,886544637336491","0,770968048990599","-0,437686716071803",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
626905,0,0,50,0,50,"0,02",1,0,0,0,"-1,04574111359186","-29,786217927192","76,9440624970017","-44,0417045782321","88,6569822162856","-0,030777624998801","0,886569822162856","0,769440624970017","-0,440417045782321",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
632383,0,0,50,0,50,"0,02",1,0,0,0,"-1,08098414543533","-30,037647313112","76,4392726192311","-44,1992279407026","88,2979849663135","-0,030575709047693","0,882979849663135","0,764392726192311","-0,441992279407026",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
637908,0,0,50,0,50,"0,02",1,0,0,0,"-1,08399847385763","-29,9938737130924","76,4464838363833","-44,1255000882919","88,2673475810181","-0,030578593534553","0,882673475810181","0,764464838363833","-0,441255000882919",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
643482,0,0,50,0,50,"0,02",1,0,0,0,"-1,09727896453346","-30,3852323981574","76,0269716340223","-44,578422866162","88,1324923117166","-0,030410788653609","0,881324923117166","0,760269716340223","-0,44578422866162",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
649104,0,0,50,0,50,"0,02",1,0,0,0,"-1,11549277738769","-30,5907282807533","75,7076776919641","-44,7568613162659","87,9478771568353","-0,030283071076786","0,879478771568353","0,757076776919641","-0,447568613162659",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
654776,0,0,50,0,50,"0,02",1,0,0,0,"-1,1325168223476","-30,6672769419374","75,4996918947052","-44,7701348084132","87,7756711564138","-0,030199876757882","0,877756711564139","0,754996918947052","-0,447701348084132",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
660497,0,0,50,0,50,"0,02",1,0,0,0,"-1,14936063551003","-30,8964631271556","75,174085220959","-44,9844594361181","87,6056201368826","-0,030069634088384","0,876056201368826","0,75174085220959","-0,449844594361181",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
666268,0,0,50,0,50,"0,02",1,0,0,0,"-1,14972683717852","-31,072001921137","75,032748907192","-45,2126548186352","87,6019267157908","-0,030013099562877","0,876019267157908","0,75032748907192","-0,452126548186352",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
672090,0,0,50,0,50,"0,02",1,0,0,0,"-1,16479669364242","-31,3457034041873","74,6862214525837","-45,4915728943563","87,4500707790846","-0,029874488581034","0,874500707790845","0,746862214525836","-0,454915728943563",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
677962,0,0,50,0,50,"0,02",1,0,0,0,"-1,19372980885706","-31,6243475692816","74,2164710199964","-45,7017632707349","87,1592550261661","-0,029686588407999","0,871592550261661","0,742164710199964","-0,457017632707349",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
683886,0,0,50,0,50,"0,02",1,0,0,0,"-1,20277262284758","-31,8127352560926","73,9887341664726","-45,8977298058277","87,0685614035613","-0,029595493666589","0,870685614035613","0,739887341664726","-0,458977298058277",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
689861,0,0,50,0,50,"0,02",1,0,0,0,"-1,22297930094656","-31,9595603866054","73,6992226971796","-45,9800894216694","86,866242288896","-0,029479689078872","0,86866242288896","0,736992226971796","-0,459800894216694",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
695889,0,0,50,0,50,"0,02",1,0,0,0,"-1,23433607284726","-32,4315127150556","73,2221827565188","-46,5247214742771","86,7527391837751","-0,029288873102608","0,867527391837751","0,732221827565188","-0,465247214742771",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
701969,0,0,50,0,50,"0,02",1,0,0,0,"-1,26518045894441","-32,5352673918877","72,8785545110474","-46,4918500116942","86,4452186366","-0,029151421804419","0,864452186366","0,728785545110474","-0,464918500116942",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
708102,0,0,50,0,50,"0,02",1,0,0,0,"-1,27538708668831","-32,7232712747444","72,640201033769","-46,6758545651235","86,3436981233196","-0,029056080413508","0,863436981233196","0,72640201033769","-0,466758545651235",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
714289,0,0,50,0,50,"0,02",1,0,0,0,"-1,24261688760686","-32,7880716614765","72,8617406171869","-46,9347214215627","86,6700716550178","-0,029144696246875","0,866700716550178","0,728617406171869","-0,469347214215627",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
720530,0,0,50,0,50,"0,02",1,0,0,0,"-1,32239042260737","-33,013953920557","72,0117185996464","-46,7898949189895","85,8777147006413","-0,028804687439859","0,858777147006413","0,720117185996464","-0,467898949189895",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
726826,0,0,50,0,50,"0,02",1,0,0,0,"-1,32485505148173","-33,3657540325994","71,7027211316506","-47,2177671709241","85,8533502799446","-0,02868108845266","0,858533502799446","0,717027211316506","-0,472177671709241",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
733177,0,0,50,0,50,"0,02",1,0,0,0,"-1,35186016466829","-33,5093966212559","71,3619042450349","-47,2502465728103","85,5868399852974","-0,028544761698014","0,855868399852974","0,713619042450349","-0,472502465728103",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
739583,0,0,50,0,50,"0,02",1,0,0,0,"-1,35992801133953","-33,7276423560804","71,1153199382952","-47,4776084016355","85,5073799707671","-0,028446127975318","0,855073799707671","0,711153199382952","-0,474776084016356",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
746045,0,0,50,0,50,"0,02",1,0,0,0,"-1,33494485973481","-33,9469784732997","71,1373663203694","-47,8870382613329","85,753678174413","-0,028454946528148","0,85753678174413","0,711373663203694","-0,478870382613329",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
752563,0,0,50,0,50,"0,02",1,0,0,0,"-1,37287546804203","-34,3302581783173","70,5068657501733","-48,1511042221224","85,3800149667512","-0,028202746300069","0,853800149667512","0,705068657501733","-0,481511042221224",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
759139,0,0,50,0,50,"0,02",1,0,0,0,"-1,38609569650483","-34,4712657773469","70,2810984813451","-48,2509833238667","85,2501624365877","-0,028112439392538","0,852501624365878","0,702810984813451","-0,482509833238667",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
765772,0,0,50,0,50,"0,02",1,0,0,0,"-1,41618008018805","-34,9049927596534","69,6720959178871","-48,6129537324463","84,9554013596794","-0,027868838367155","0,849554013596794","0,696720959178871","-0,486129537324463",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
772463,0,0,50,0,50,"0,02",1,0,0,0,"-1,43166711194753","-34,9937303396284","69,4727413278684","-48,6340086492155","84,8040599552927","-0,027789096531147","0,848040599552927","0,694727413278684","-0,486340086492155",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
779212,0,0,50,0,50,"0,02",1,0,0,0,"-1,45781399566928","-35,3132661235209","68,9924339958957","-48,8733527264562","84,5491605836665","-0,027596973598358","0,845491605836665","0,689924339958957","-0,488733527264562",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
786020,0,0,50,0,50,"0,02",1,0,0,0,"-1,43491596497546","-35,2826004674488","69,2007710644535","-48,9653338684056","84,7723459434698","-0,027680308425781","0,847723459434699","0,692007710644535","-0,489653338684056",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
792888,0,0,50,0,50,"0,02",1,0,0,0,"-1,4771668520264","-35,5610113992463","68,6273849703205","-49,061780740512","84,3609880056809","-0,027450953988128","0,843609880056809","0,686273849703205","-0,49061780740512",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
799816,0,0,50,0,50,"0,02",1,0,0,0,"-1,47608964475394","-35,9541691630842","68,2975846374156","-49,5376792618926","84,371450941412","-0,027319033854966","0,84371450941412","0,682975846374156","-0,495376792618926",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
806805,0,0,50,0,50,"0,02",1,0,0,0,"-1,48917539090928","-36,0925410428089","68,0751138571512","-49,6276533731548","84,244436647117","-0,027230045542861","0,84244436647117","0,680751138571512","-0,496276533731548",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
813854,0,0,50,0,50,"0,02",1,0,0,0,"-1,54240895222764","-36,3181465889478","67,4644331794182","-49,5904574928803","83,729703323094","-0,026985773271767","0,83729703323094","0,674644331794182","-0,495904574928803",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
820965,0,0,50,0,50,"0,02",1,0,0,0,"-1,549327674259","-36,7363956989965","67,0472097337349","-50,0417338555032","83,6630352087733","-0,026818883893494","0,836630352087734","0,670472097337349","-0,500417338555032",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
828138,0,0,50,0,50,"0,02",1,0,0,0,"-1,53564869714156","-36,969393392239","66,9485082651151","-50,3932713742633","83,7948957796615","-0,026779403306046","0,837948957796615","0,669485082651151","-0,503932713742633",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
835374,0,0,50,0,50,"0,02",1,0,0,0,"-1,56333811085361","-37,1641802794156","66,5642648383476","-50,4594682548053","83,528194581395","-0,026625705935339","0,83528194581395","0,665642648383476","-0,504594682548053",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
842673,0,0,50,0,50,"0,02",1,0,0,0,"-1,5476899609514","-37,2251123214322","66,6304961037441","-50,6213437373954","83,67881125357","-0,026652198441498","0,8367881125357","0,666304961037441","-0,506213437373954",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
850036,0,0,50,0,50,"0,02",1,0,0,0,"-1,58419047565627","-37,6442258237269","65,98057413349","-50,893064444118","83,3279075190186","-0,026392229653396","0,833279075190186","0,6598057413349","-0,50893064444118",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
857463,0,0,50,0,50,"0,02",1,0,0,0,"-1,62065254071816","-37,8229072861447","65,5458096255094","-50,8845277133472","82,9788426050516","-0,026218323850204","0,829788426050516","0,655458096255094","-0,508845277133472",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
864955,0,0,50,0,50,"0,02",1,0,0,0,"-1,6274932584927","-38,045507191526","65,2961785518772","-51,098535796602","82,9135169561347","-0,026118471420751","0,829135169561347","0,652961785518772","-0,51098535796602",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
872513,0,0,50,0,50,"0,02",1,0,0,0,"-1,62825218143439","-38,4473400937496","64,9305324201331","-51,5507131266898","82,9062727676997","-0,025972212968053","0,829062727676997","0,649305324201331","-0,515507131266898",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
880136,0,0,50,0,50,"0,02",1,0,0,0,"-1,64519962430837","-38,669349807671","64,6041215999411","-51,7009437726943","82,7446681949192","-0,025841648639976","0,827446681949192","0,646041215999411","-0,517009437726943",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
887826,0,0,50,0,50,"0,02",1,0,0,0,"-1,65217316417677","-38,8082812369585","64,4268203987469","-51,8158269241105","82,6782625998017","-0,025770728159499","0,826782625998017","0,644268203987469","-0,518158269241105",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
895584,0,0,50,0,50,"0,02",1,0,0,0,"-1,68282320792383","-39,1645391181403","63,8775887352537","-52,0314917647716","82,387028577912","-0,025551035494102","0,823870285779121","0,638775887352537","-0,520314917647716",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
903409,0,0,50,0,50,"0,02",1,0,0,0,"-1,70044212522902","-39,4526427535118","63,4862398286766","-52,2459459476717","82,2200797588477","-0,025394495931471","0,822200797588477","0,634862398286766","-0,522459459476717",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
911302,0,0,50,0,50,"0,02",1,0,0,0,"-1,68837141187509","-39,6520628679743","63,3920459259873","-52,5395583950323","82,3344197952928","-0,025356818370395","0,823344197952928","0,633920459259873","-0,525395583950323",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
919265,0,0,50,0,50,"0,02",1,0,0,0,"-1,71203705128963","-40,1585402854443","62,753928440506","-52,9533910271389","82,1103961504828","-0,025101571376202","0,821103961504828","0,62753928440506","-0,529533910271389",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
927297,0,0,50,0,50,"0,02",1,0,0,0,"-1,73027456475078","-40,2929907140629","62,4981318103946","-52,9891269953011","81,9381721758157","-0,024999252724158","0,819381721758156","0,624981318103946","-0,529891269953011",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
935399,0,0,50,0,50,"0,02",1,0,0,0,"-1,75118676301587","-40,3050946203808","62,3366733522554","-52,8748735102458","81,7411346468244","-0,024934669340902","0,817411346468244","0,623366733522554","-0,528748735102458",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
943572,0,0,50,0,50,"0,02",1,0,0,0,"-1,76597043525646","-40,7127520751767","61,8535294410241","-53,2263844641959","81,6021268561183","-0,02474141177641","0,816021268561183","0,618535294410241","-0,532263844641959",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
951816,0,0,50,0,50,"0,02",1,0,0,0,"-1,76008242648655","-40,8768015591528","61,7427182346838","-53,4394786876352","81,6574622273664","-0,024697087293874","0,816574622273664","0,617427182346838","-0,534394786876352",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
960133,0,0,50,0,50,"0,02",1,0,0,0,"-1,76204105195535","-41,2036917230638","61,4229740970656","-53,7787401535948","81,6390509464476","-0,024569189638826","0,816390509464475","0,614229740970656","-0,537787401535948",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
968522,0,0,50,0,50,"0,02",1,0,0,0,"-1,81706552531088","-41,524462025677","60,7349601330707","-53,7799981997688","81,1235082373341","-0,024293984053228","0,811235082373341","0,607349601330707","-0,537799981997688",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
976984,0,0,50,0,50,"0,02",1,0,0,0,"-1,80339938064082","-41,7510845674121","60,617067337216","-54,1048626591443","81,2512462423158","-0,024246826934886","0,812512462423158","0,60617067337216","-0,541048626591443",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
985521,0,0,50,0,50,"0,02",1,0,0,0,"-1,82062486006711","-42,138060367547","60,1308959019731","-54,4050325415132","81,0902719678325","-0,024052358360789","0,810902719678325","0,601308959019731","-0,544050325415132",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
994132,0,0,50,0,50,"0,02",1,0,0,0,"-1,81625114085114","-42,2130036096206","60,0899326072851","-54,5110793356898","81,1311146915284","-0,024035973042914","0,811311146915284","0,600899326072851","-0,545110793356898",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1002818,0,0,50,0,50,"0,02",1,0,0,0,"-1,85975897759803","-42,6177996485724","59,4050064269943","-54,6597731357631","80,7257430306115","-0,023762002570798","0,807257430306115","0,594050064269943","-0,546597731357631",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1011580,0,0,50,0,50,"0,02",1,0,0,0,"-1,88578386457539","-42,8514117247299","59,0045927687598","-54,7372789562866","80,4842324641636","-0,023601837107504","0,804842324641636","0,590045927687598","-0,547372789562866",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1020419,0,0,50,0,50,"0,02",1,0,0,0,"-1,88682014224792","-43,1114591822617","58,7485411901972","-54,997955504075","80,4746307950805","-0,023499416476079","0,804746307950805","0,587485411901972","-0,54997955504075",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1029335,0,0,50,0,50,"0,02",1,0,0,0,"-1,90176846495076","-43,5864908443918","58,1903154423762","-55,387732249779","80,3362539272055","-0,023276126176951","0,803362539272056","0,581903154423762","-0,55387732249779",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1038328,0,0,50,0,50,"0,02",1,0,0,0,"-1,91743605956467","-43,6986768609366","57,9770805884459","-55,401540136882","80,1914741297209","-0,023190832235378","0,801914741297209","0,579770805884459","-0,55401540136882",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1047401,0,0,50,0,50,"0,02",1,0,0,0,"-1,9199686820794","-44,051274607466","57,6182415723498","-55,7410240043914","80,1680953930415","-0,02304729662894","0,801680953930415","0,576182415723498","-0,557410240043914",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1056552,0,0,50,0,50,"0,02",1,0,0,0,"-1,92915088938783","-44,392680975","57,2245521641307","-56,0241035499204","80,0833912178894","-0,022889820865652","0,800833912178894","0,572245521641307","-0,560241035499204",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1065784,0,0,50,0,50,"0,02",1,0,0,0,"-1,95723083632137","-44,619186942363","56,8186450221359","-56,0683372286447","79,8249137909746","-0,022727458008854","0,798249137909746","0,568186450221359","-0,560683372286447",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1075096,0,0,50,0,50,"0,02",1,0,0,0,"-1,95307637347581","-44,9688669256888","56,5024188115419","-56,4410481883123","79,8631031963464","-0,022600967524617","0,798631031963464","0,565024188115419","-0,564410481883123",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
1084490,0,0,50,0,50,"0,02",1,0,0,0,"-1,99626750047827","-45,1212992716081","56,0725420560887","-56,3104652925739","79,4669646714785","-0,022429016822436","0,794669646714784","0,560725420560887","-0,563104652925739",0,0,0,0,0,0,0,0,0,0,0,50,0,50,"0,02",1,0,0,0,,
